r: 0.9191919191919192, gamma: -0.8080808080808081 
Converged: True 
[[0.49877547 0.50122453]
 [0.49881857 0.50118143]
 [0.49886157 0.50113843]
 [0.49890467 0.50109533]
 [0.49894773 0.50105227]
 [0.49899027 0.50100973]
 [0.49903205 0.50096795]
 [0.49907395 0.50092605]
 [0.49911592 0.50088408]
 [0.49915746 0.50084254]
 [0.4991991  0.5008009 ]
 [0.49924042 0.50075958]
 [0.49928146 0.50071854]
 [0.49932207 0.50067793]
 [0.49936264 0.50063736]
 [0.49940312 0.50059688]
 [0.49944347 0.50055653]
 [0.4994837  0.5005163 ]
 [0.49952382 0.50047618]
 [0.49956385 0.50043615]
 [0.49960366 0.50039634]
 [0.49964304 0.50035696]
 [0.49968225 0.50031775]
 [0.49972158 0.50027842]
 [0.49976047 0.50023953]
 [0.4997993  0.5002007 ]
 [0.49983785 0.50016215]
 [0.49987641 0.50012359]
 [0.49991427 0.50008573]
 [0.49995255 0.50004745]
 [0.49999042 0.50000958]
 [0.50002821 0.49997179]
 [0.50006567 0.49993433]
 [0.50010283 0.49989717]
 [0.50013999 0.49986001]
 [0.50017683 0.49982317]
 [0.50021379 0.49978621]
 [0.50025021 0.49974979]
 [0.50028651 0.49971349]
 [0.50032301 0.49967699]
 [0.50035943 0.49964057]
 [0.50039561 0.49960439]
 [0.50043157 0.49956843]
 [0.50046736 0.49953264]
 [0.50050298 0.49949702]
 [0.50053818 0.49946182]]
