[0.49872937 0.50127063]
[0.49871873 0.50128127]
[0.49870692 0.50129308]
[0.49869537 0.50130463]
[0.49868258 0.50131742]
[0.4986722 0.5013278]
[0.49866018 0.50133982]
[0.49864748 0.50135252]
[0.49863746 0.50136254]
[0.49862685 0.50137315]
[0.49861579 0.50138421]
[0.49860147 0.50139853]
[0.49858957 0.50141043]
[0.49857936 0.50142064]
[0.49856719 0.50143281]
[0.49855462 0.50144538]
[0.49854605 0.50145395]
[0.49853533 0.50146467]
[0.4985257 0.5014743]
[0.49851756 0.50148244]
[0.49850595 0.50149405]
[0.49849438 0.50150562]
[0.49848617 0.50151383]
[0.49847459 0.50152541]
[0.49846325 0.50153675]
[0.49845223 0.50154777]
[0.49844139 0.50155861]
[0.4984318 0.5015682]
[0.49842041 0.50157959]
[0.49840869 0.50159131]
[0.49839769 0.50160231]
[0.49838573 0.50161427]
[0.49837291 0.50162709]
[0.49836435 0.50163565]
[0.4983533 0.5016467]
[0.49834561 0.50165439]
[0.49833459 0.50166541]
[0.49832567 0.50167433]
[0.49831645 0.50168355]
[0.49830543 0.50169457]
[0.49829475 0.50170525]
[0.49828599 0.50171401]
[0.49827629 0.50172371]
[0.49826623 0.50173377]
[0.49825606 0.50174394]
[0.4982473 0.5017527]
[0.49823828 0.50176172]
[0.4982276 0.5017724]
[0.49821704 0.50178296]
[0.4982072 0.5017928]
[0.49819912 0.50180088]
